Year,ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
2017,Eastern Province,Bugesera,Beans,756349337.3306274,231440.12057495117,480
2017,Eastern Province,Bugesera,Cassava,1397649765.1031494,772767.114151001,480
2017,Eastern Province,Bugesera,Irish potatoes,88206341.74118042,104234.64024353027,480
2017,Eastern Province,Bugesera,Maize,247504791.5664673,345852.36907958984,480
2017,Eastern Province,Bugesera,Tomatoes,628266.4260864258,846.5241851806641,480
2017,Eastern Province,Gatsibo,Beans,1011806399.3469238,445064.45419311523,480
2017,Eastern Province,Gatsibo,Cassava,1398472913.3132935,1203790.0243682861,480
2017,Eastern Province,Gatsibo,Irish potatoes,90313103.77349854,143269.7766265869,480
2017,Eastern Province,Gatsibo,Maize,299279457.0655823,547011.3892974854,480
2017,Eastern Province,Gatsibo,Tomatoes,0.0,0.0,480
2017,Eastern Province,Kayonza,Beans,628972977.1644592,300690.7956542969,480
2017,Eastern Province,Kayonza,Cassava,1154525741.5734863,923322.4403076172,480
2017,Eastern Province,Kayonza,Irish potatoes,67921040.4296875,65060.00830078125,480
2017,Eastern Province,Kayonza,Maize,224774828.83605957,506470.2043762207,480
2017,Eastern Province,Kayonza,Tomatoes,0.0,0.0,480
2017,Eastern Province,Kirehe,Beans,517757791.6786194,184582.05784225464,480
2017,Eastern Province,Kirehe,Cassava,869879900.5588531,611820.0547676086,480
2017,Eastern Province,Kirehe,Irish potatoes,54802046.071624756,60191.87923812866,480
2017,Eastern Province,Kirehe,Maize,183085216.30882263,269792.5776824951,480
2017,Eastern Province,Kirehe,Tomatoes,1000232.5439453125,200.0465087890625,480
2017,Eastern Province,Ngoma,Beans,544094654.094696,235055.87382507324,480
2017,Eastern Province,Ngoma,Cassava,784473022.5978851,735999.880607605,480
2017,Eastern Province,Ngoma,Irish potatoes,47695519.84329224,95149.66590118408,480
2017,Eastern Province,Ngoma,Maize,156340919.02198792,312140.5806045532,480
2017,Eastern Province,Ngoma,Tomatoes,499310.9436035156,124.8277359008789,480
2017,Eastern Province,Nyagatare,Beans,597102091.6137695,165670.55949401855,480
2017,Eastern Province,Nyagatare,Cassava,1014501301.6242981,585462.028427124,480
2017,Eastern Province,Nyagatare,Irish potatoes,59039430.10177612,79409.54252624512,480
2017,Eastern Province,Nyagatare,Maize,180299955.97381592,258623.51461791992,480
2017,Eastern Province,Nyagatare,Tomatoes,729830.0170898438,182.45750427246094,480
2017,Eastern Province,Rwamagana,Beans,753161361.4524841,227302.6424446106,480
2017,Eastern Province,Rwamagana,Cassava,2217125688.295059,851955.3424682617,480
2017,Eastern Province,Rwamagana,Irish potatoes,43081659.51461792,67955.36819076538,480
2017,Eastern Province,Rwamagana,Maize,224000623.95210266,346333.91749954224,480
2017,Eastern Province,Rwamagana,Tomatoes,1222167.3202514648,1824.6718139648438,480
2017,Kigali City,Gasabo,Beans,1862566967.7780151,417793.4703903198,540
2017,Kigali City,Gasabo,Cassava,7499823084.2803955,1601828.3329315186,540
2017,Kigali City,Gasabo,Irish potatoes,251621177.82592773,116012.67092132568,540
2017,Kigali City,Gasabo,Maize,1102516315.8337402,789553.3111953735,540
2017,Kigali City,Gasabo,Tomatoes,13481505.783081055,2250.57958984375,540
2017,Kigali City,Kicukiro,Beans,1023842662.3214722,143171.90427398682,540
2017,Kigali City,Kicukiro,Cassava,4040201478.4362793,672915.4997177124,540
2017,Kigali City,Kicukiro,Irish potatoes,109961614.31427002,39152.893615722656,540
2017,Kigali City,Kicukiro,Maize,1168233320.9430695,344909.06640625,540
2017,Kigali City,Kicukiro,Tomatoes,15756498.265075684,2940.9910278320312,540
2017,Kigali City,Nyarugenge,Beans,761987712.5488281,137978.23142242432,540
2017,Kigali City,Nyarugenge,Cassava,2308750242.0783997,545844.3279800415,540
2017,Kigali City,Nyarugenge,Irish potatoes,66891454.05960083,39782.834716796875,540
2017,Kigali City,Nyarugenge,Maize,495647875.7015228,261268.74571990967,540
2017,Kigali City,Nyarugenge,Tomatoes,5486229.057312012,2337.602958679199,540
2017,Northern Province,Burera,Beans,472326217.15393066,173333.9874267578,480
2017,Northern Province,Burera,Cassava,915508767.8230286,579449.1241607666,480
2017,Northern Province,Burera,Irish potatoes,32954821.530914307,41865.660957336426,480
2017,Northern Province,Burera,Maize,155309592.2428131,293365.83742523193,480
2017,Northern Province,Burera,Tomatoes,0.0,0.0,480
2017,Northern Province,Gakenke,Beans,447403116.94488525,226485.410987854,480
2017,Northern Province,Gakenke,Cassava,659331601.7818451,648519.8442840576,480
2017,Northern Province,Gakenke,Irish potatoes,53610782.484436035,76396.5214920044,480
2017,Northern Province,Gakenke,Maize,135898001.15318298,404413.5751953125,480
2017,Northern Province,Gakenke,Tomatoes,0.0,0.0,480
2017,Northern Province,Gicumbi,Beans,775527735.1745605,305966.19763183594,480
2017,Northern Province,Gicumbi,Cassava,1421667778.7460327,675927.9884262085,480
2017,Northern Province,Gicumbi,Irish potatoes,112574122.75848389,112169.81472015381,480
2017,Northern Province,Gicumbi,Maize,271294848.7083435,327141.98052215576,480
2017,Northern Province,Gicumbi,Tomatoes,1348430.4962158203,1584.5355224609375,480
2017,Northern Province,Musanze,Beans,719934973.1842041,344674.7512359619,480
2017,Northern Province,Musanze,Cassava,938313241.6742859,745976.6761932373,480
2017,Northern Province,Musanze,Irish potatoes,80808381.5864563,130098.20221710205,480
2017,Northern Province,Musanze,Maize,198674038.13705444,430998.6844100952,480
2017,Northern Province,Musanze,Tomatoes,0.0,0.0,480
