ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
Eastern Province,Unknown District,Beans,2870675.33406527,1659962272.112094,21115
Eastern Province,Unknown District,Cassava,2825368.000055661,1150148567.9049013,21115
Eastern Province,Unknown District,Irish potatoes,2870612.6585694407,1083597969.746761,4223
Eastern Province,Unknown District,Maize,3144175.4175300472,1334817646.3123271,16892
Eastern Province,Unknown District,Tomatoes,994104.6156281816,505774382.914212,4223
Kigali City,Gasabo,Beans,588821.9225288134,358262423.62909,4930
Kigali City,Gasabo,Cassava,448886.4284091014,264889826.1862418,4930
Kigali City,Gasabo,Irish potatoes,1174668.884505133,575275241.9602063,986
Kigali City,Gasabo,Maize,478831.41283896595,280522910.9365897,3944
Kigali City,Gasabo,Tomatoes,310515.08916707546,234833103.06882116,986
Kigali City,Kicukiro,Beans,251964.42663192068,152488875.06693283,3415
Kigali City,Kicukiro,Cassava,167388.79663071423,101849648.3621028,3415
Kigali City,Kicukiro,Irish potatoes,665563.8499173208,334870735.7960004,683
Kigali City,Kicukiro,Maize,240490.25070708682,126231037.13342604,2732
Kigali City,Kicukiro,Tomatoes,166348.1763120795,119835284.05106094,683
Kigali City,Nyarugenge,Beans,231082.8060425073,122594666.78046133,3535
Kigali City,Nyarugenge,Cassava,193340.16519800812,129918851.61525185,3535
Kigali City,Nyarugenge,Irish potatoes,568322.2616647991,281112870.12256396,707
Kigali City,Nyarugenge,Maize,184817.02868977215,107588781.54134984,2828
Kigali City,Nyarugenge,Tomatoes,131174.6660558243,101852863.15891871,707
Northern Province,Unknown District,Beans,2214078.1419367124,1590906880.3186889,16500
Northern Province,Unknown District,Cassava,927723.1857047467,399533344.3470475,16500
Northern Province,Unknown District,Irish potatoes,4164957.228502129,1683578775.703504,3300
Northern Province,Unknown District,Maize,1906144.6733036016,858440776.8754679,13200
Northern Province,Unknown District,Tomatoes,343688.2106837928,220550423.88914046,3300
Southern Province,Gisagara,Beans,356529.9391714174,223415629.7555655,2790
Southern Province,Gisagara,Cassava,372651.1222005832,143286354.35394037,2790
Southern Province,Gisagara,Irish potatoes,130604.72094831069,52617007.72405188,558
Southern Province,Gisagara,Maize,437250.9752552992,169133626.98352388,2232
Southern Province,Gisagara,Tomatoes,103129.76806625784,40884169.276275,558
Southern Province,Huye,Beans,339524.46575100237,203449858.0647733,2875
Southern Province,Huye,Cassava,304990.3704048052,116293815.02007264,2875
Southern Province,Huye,Irish potatoes,194387.233012851,83956076.9000632,575
Southern Province,Huye,Maize,309888.69205311866,149128151.04112864,2300
Southern Province,Huye,Tomatoes,91422.38950037069,51260128.2483954,575
Southern Province,Muhanga,Beans,276845.5249110936,174859257.5119305,3265
Southern Province,Muhanga,Cassava,392235.0911778401,191205520.8267092,3265
Southern Province,Muhanga,Irish potatoes,204835.6185501832,97140056.73587741,653
Southern Province,Muhanga,Maize,178425.8168987983,86125013.2958104,2612
Southern Province,Muhanga,Tomatoes,94831.39396348166,55224170.16608193,653
Southern Province,Nyamagabe,Beans,395279.0567327634,271321357.8272935,3150
Southern Province,Nyamagabe,Cassava,221164.84975189855,82143847.64651369,3150
Southern Province,Nyamagabe,Irish potatoes,545201.2753764918,235950794.5419857,630
Southern Province,Nyamagabe,Maize,217093.2234366923,114613422.18458664,2520
Southern Province,Nyamagabe,Tomatoes,24460.870006795743,15026223.000985527,630
Southern Province,Nyanza,Beans,317612.94413456006,185696827.8893821,2730
Southern Province,Nyanza,Cassava,413460.0157681967,181745300.2040511,2730
Southern Province,Nyanza,Irish potatoes,153308.87812979988,75316265.01453176,546
Southern Province,Nyanza,Maize,269656.1039241744,123039899.71910329,2184
Southern Province,Nyanza,Tomatoes,96361.62919185594,46680355.03121766,546
Southern Province,Nyaruguru,Beans,272658.0135352332,182802522.09743166,2790
Southern Province,Nyaruguru,Cassava,160212.45773456656,49493097.94827755,2790
Southern Province,Nyaruguru,Irish potatoes,263962.49719304824,93931991.48796919,558
Southern Province,Nyaruguru,Maize,303427.4495925765,135850333.02052587,2232
Southern Province,Nyaruguru,Tomatoes,24868.021544045336,11563069.076051744,558
Southern Province,Ruhango,Beans,280921.96076102747,156983969.6167669,2970
Southern Province,Ruhango,Cassava,482542.5285754739,178002231.57867095,2970
Southern Province,Ruhango,Irish potatoes,144361.85246124875,63413582.37744054,594
Southern Province,Ruhango,Maize,216957.38723295266,109281485.56371689,2376
Southern Province,Ruhango,Tomatoes,93314.79118808307,42989156.45236325,594
Southern Province,Unknown District,Beans,382019.58500873187,218612352.4418029,3020
Southern Province,Unknown District,Cassava,484046.48242058384,249075879.94068396,3020
Southern Province,Unknown District,Irish potatoes,242493.91816780457,111233658.99641672,604
Southern Province,Unknown District,Maize,227640.24000760514,126652472.91320717,2416
Southern Province,Unknown District,Tomatoes,104590.9344160986,72151131.03625962,604
Western Province,Unknown District,Beans,2500382.997382895,1684547099.1569836,21040
Western Province,Unknown District,Cassava,1850047.6939107145,750039376.1979612,21040
Western Province,Unknown District,Irish potatoes,3762317.522804573,1510323268.4881983,4208
Western Province,Unknown District,Maize,2470861.251920121,1136856524.622397,16832
Western Province,Unknown District,Tomatoes,397696.42222183396,268830666.1950437,4208
