Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
SeasonA,Eastern Province,Unknown District,Beans,0.38363853487723215,760569.0,3231.7272621552393,700
SeasonA,Eastern Province,Unknown District,Cassava,0.5909104294903893,686797.0,381.485156291903,2824
SeasonA,Eastern Province,Unknown District,Irish potatoes,0.24134635875146715,17508.0,401.18005711535875,213
SeasonA,Eastern Province,Unknown District,Maize,1.650997216818341,24875852.0,1205.1768941312503,3412
SeasonA,Eastern Province,Unknown District,Tomatoes,2.6602517662385923,1104156.0,245.92031236708553,226
SeasonA,Kigali City,Gasabo,Beans,0.17795841394372888,30057.0,3424.4653128780574,74
SeasonA,Kigali City,Gasabo,Cassava,0.18692599936329846,12683.0,385.988623873008,227
SeasonA,Kigali City,Gasabo,Irish potatoes,0.11315603804154829,960.0,480.13121693120434,22
SeasonA,Kigali City,Gasabo,Maize,0.5904615002290702,337438.0,659.5108898161158,243
SeasonA,Kigali City,Gasabo,Tomatoes,0.13563737693319516,795.0,191.9054996986196,49
SeasonA,Kigali City,Kicukiro,Beans,0.15103114579363566,20973.0,4525.538261566432,41
SeasonA,Kigali City,Kicukiro,Cassava,0.18063822170779,5866.0,268.3558549053668,139
SeasonA,Kigali City,Kicukiro,Irish potatoes,0.1383749267578125,80.0,578.1394207349294,1
SeasonA,Kigali City,Kicukiro,Maize,0.48331039815665844,189696.0,683.152189565301,153
SeasonA,Kigali City,Kicukiro,Tomatoes,0.46555089634486607,4028.0,239.65764905978537,14
SeasonA,Kigali City,Nyarugenge,Beans,0.14190511474609374,11672.0,3108.4335765604665,34
SeasonA,Kigali City,Nyarugenge,Cassava,0.16469847237723215,5290.0,438.02272541030663,91
SeasonA,Kigali City,Nyarugenge,Irish potatoes,0.290929345703125,140.0,240.7047708303008,2
SeasonA,Kigali City,Nyarugenge,Maize,0.1587262733551393,8041.0,531.8162486014942,83
SeasonA,Kigali City,Nyarugenge,Tomatoes,0.15567306554457722,165.0,79.16002097278731,17
SeasonA,Northern Province,Unknown District,Beans,0.2235729622155584,1594832.0,5396.135103390318,962
SeasonA,Northern Province,Unknown District,Cassava,0.13643946075439453,17876.0,294.1962439677615,384
SeasonA,Northern Province,Unknown District,Irish potatoes,0.114647612812615,67198.0,618.9848598361464,1019
SeasonA,Northern Province,Unknown District,Maize,0.26990303465915505,649708.0,1068.6355879250098,1108
SeasonA,Northern Province,Unknown District,Tomatoes,0.10547055563385954,1304.0,165.72191258419824,97
SeasonA,Southern Province,Gisagara,Beans,0.09569336499410962,16564.0,4003.3282875957834,63
SeasonA,Southern Province,Gisagara,Cassava,0.12194188849407694,14698.0,334.32886299432266,368
SeasonA,Southern Province,Gisagara,Irish potatoes,0.06463902180989584,208.0,183.9813178602258,24
SeasonA,Southern Province,Gisagara,Maize,2.335142991909585,1910158.0,875.4959847334421,253
SeasonA,Southern Province,Gisagara,Tomatoes,0.1253758185588138,1199.0,195.8086566663986,71
SeasonA,Southern Province,Huye,Beans,0.11443732864379882,22503.0,4437.928358766259,80
SeasonA,Southern Province,Huye,Cassava,0.16451777587890623,12737.0,447.0639352182272,190
SeasonA,Southern Province,Huye,Irish potatoes,0.072686962890625,2268.0,302.59773160998327,108
SeasonA,Southern Province,Huye,Maize,2.0025485212299188,1310449.0,710.5337882424412,213
SeasonA,Southern Province,Huye,Tomatoes,0.09352192190069901,1266.0,271.38134794174874,76
SeasonA,Southern Province,Muhanga,Beans,0.31461545104980465,240874.0,4229.730312089559,68
SeasonA,Southern Province,Muhanga,Cassava,0.15509794311523437,3021.0,169.16465261243582,140
SeasonA,Southern Province,Muhanga,Irish potatoes,0.1388025734560333,4568.0,315.39302644758436,137
SeasonA,Southern Province,Muhanga,Maize,4.977612258402506,1221996.0,803.7205087025918,96
SeasonA,Southern Province,Muhanga,Tomatoes,0.10912940040001502,1530.0,181.71178451467597,104
SeasonA,Southern Province,Nyamagabe,Beans,0.20173492800154777,403031.0,5618.795061894196,159
SeasonA,Southern Province,Nyamagabe,Cassava,0.07919389247110445,1326.0,318.9765674835769,73
SeasonA,Southern Province,Nyamagabe,Irish potatoes,0.14208179689116823,13849.0,452.0689088127254,151
SeasonA,Southern Province,Nyamagabe,Maize,0.2961870191147748,111909.0,870.3443279829655,170
SeasonA,Southern Province,Nyamagabe,Tomatoes,0.07230582753057066,625.0,221.22706313499577,46
SeasonA,Southern Province,Nyanza,Beans,0.1284685936263845,14640.0,2635.1669063697623,79
SeasonA,Southern Province,Nyanza,Cassava,0.18072670419518577,15022.0,275.23745696466665,339
SeasonA,Southern Province,Nyanza,Irish potatoes,0.15369630259318523,1834.0,203.37165497428995,83
SeasonA,Southern Province,Nyanza,Maize,1.4710950176864577,899186.0,592.1409078655842,311
SeasonA,Southern Province,Nyanza,Tomatoes,0.15348008515731149,1512.0,136.38974222516086,92
SeasonA,Southern Province,Nyaruguru,Beans,0.17422509509044087,130817.0,5541.278888564231,157
SeasonA,Southern Province,Nyaruguru,Cassava,0.09204148091160974,1011.0,292.56869349405093,43
SeasonA,Southern Province,Nyaruguru,Irish potatoes,0.1089388821567062,6272.0,524.1491241605518,137
SeasonA,Southern Province,Nyaruguru,Maize,3.0387940964271283,1278339.0,1151.0688484380566,116
SeasonA,Southern Province,Nyaruguru,Tomatoes,0.08452237104936079,271.0,282.87475077672735,22
SeasonA,Southern Province,Ruhango,Beans,0.05849329833984375,6886.0,5092.904368135209,30
SeasonA,Southern Province,Ruhango,Cassava,0.12331736500637591,7288.0,266.69402216341877,242
SeasonA,Southern Province,Ruhango,Irish potatoes,0.0985920642559345,1863.0,359.64822223720114,52
